,Player,Pos,Age,Tm,G,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,PTS
189,Goran Dragi?,PG,35,TOT,21,0.377,0.254,0.466,0.818,0.6,2.5,4.1,0.9,0.2,7.5
192,Andre Drummond,C,28,TOT,73,0.57,0.0,0.574,0.524,3.1,6.2,1.8,1.1,0.9,7.9
195,Chris Duarte,SG,24,IND,55,0.432,0.369,0.475,0.804,0.7,3.4,2.1,1.0,0.2,13.1
196,David Duke Jr.,PG,22,BRK,22,0.361,0.243,0.423,0.81,1.4,1.7,0.8,0.6,0.3,4.7
197,Kris Dunn,PG,27,POR,14,0.431,0.091,0.473,0.944,0.6,2.9,5.6,1.6,0.2,7.6
198,Kevin Durant,PF,33,BRK,55,0.518,0.383,0.568,0.91,0.5,6.9,6.4,0.9,0.9,29.9
199,Jaime Echenique,C,24,WAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Anthony Edwards,SG,20,MIN,72,0.441,0.357,0.519,0.786,0.9,3.9,3.8,1.5,0.6,21.3
201,Carsen Edwards,SG,23,DET,4,0.3,0.25,0.357,1.0,0.5,1.0,3.5,0.5,0.0,5.8
202,Kessler Edwards,SF,21,BRK,48,0.412,0.353,0.473,0.842,0.9,2.7,0.6,0.6,0.5,5.9
203,Rob Edwards,SG,25,OKC,2,0.25,0.25,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5
204,CJ Elleby,SF,21,POR,58,0.393,0.294,0.462,0.714,1.1,2.8,1.5,0.6,0.3,5.8
205,Wayne Ellington,SG,34,LAL,43,0.414,0.389,0.615,0.818,0.2,1.6,0.7,0.5,0.1,6.7
206,Joel Embiid,C,27,PHI,68,0.499,0.371,0.529,0.814,2.1,9.6,4.2,1.1,1.5,30.6
207,James Ennis III,SF,31,TOT,7,0.458,0.375,0.5,0.8,0.7,1.0,0.4,0.3,0.3,4.1
211,Drew Eubanks,C,24,TOT,71,0.596,0.217,0.621,0.762,1.8,3.5,1.2,0.4,0.6,7.7
214,Tacko Fall,C,26,CLE,11,0.417,0.0,0.417,0.286,0.6,1.5,0.2,0.0,0.5,1.1
215,Derrick Favors,C,30,OKC,39,0.516,0.125,0.554,0.64,1.5,3.2,0.6,0.4,0.3,5.3
216,Bruno Fernando,C,23,TOT,30,0.655,0.5,0.66,0.625,0.6,1.2,0.2,0.0,0.4,2.9
219,Dorian Finney-Smith,PF,28,DAL,80,0.471,0.395,0.599,0.675,1.5,3.2,1.9,1.1,0.5,11.0
220,Malik Fitts,PF,24,TOT,15,0.421,0.5,0.333,0.0,0.1,1.0,0.3,0.0,0.0,1.4
223,Malachi Flynn,PG,23,TOR,44,0.393,0.333,0.452,0.625,0.2,1.2,1.6,0.5,0.1,4.3
224,Bryn Forbes,SG,28,TOT,75,0.429,0.414,0.447,0.908,0.1,1.1,1.0,0.3,0.1,8.8
227,Aleem Ford,SF,24,ORL,5,0.3,0.133,0.8,0.0,0.4,2.6,0.4,0.2,0.0,2.8
228,Trent Forrest,PG,23,UTA,60,0.49,0.185,0.555,0.792,0.4,1.3,1.8,0.5,0.1,3.3
229,Evan Fournier,SG,29,NYK,80,0.417,0.389,0.465,0.708,0.4,2.2,2.1,1.0,0.3,14.1
230,De'Aaron Fox,PG,24,SAC,59,0.473,0.297,0.524,0.75,0.4,3.5,5.6,1.2,0.4,23.2
231,Melvin Frazier,SG,25,OKC,3,0.271,0.048,0.444,0.714,1.7,2.7,0.3,0.3,0.0,10.7
232,Tim Frazier,PG,31,TOT,12,0.311,0.353,0.286,0.556,0.4,1.2,2.8,0.3,0.1,3.3
235,Enes Freedom,C,29,BOS,35,0.526,0.4,0.533,0.857,1.7,2.8,0.2,0.1,0.4,3.7
236,Markelle Fultz,PG,23,ORL,18,0.474,0.235,0.5,0.806,0.2,2.5,5.5,1.1,0.3,10.8
237,Wenyen Gabriel,PF,24,TOT,26,0.491,0.286,0.561,0.595,1.5,2.2,0.5,0.2,0.4,5.4
241,Daniel Gafford,C,23,WAS,72,0.693,0.0,0.695,0.699,2.2,3.5,0.9,0.4,1.4,9.4
242,Danilo Gallinari,PF,33,ATL,66,0.434,0.381,0.485,0.904,0.5,4.1,1.5,0.4,0.2,11.7
243,Langston Galloway,SG,30,TOT,7,0.231,0.125,0.4,0.0,0.4,2.1,1.7,0.1,0.0,2.0
246,Darius Garland,PG,22,CLE,68,0.462,0.383,0.512,0.892,0.6,2.7,8.6,1.3,0.1,21.7
247,Marcus Garrett,SG,23,MIA,12,0.238,0.25,0.235,0.4,0.8,1.2,0.6,0.4,0.3,1.1
248,Usman Garuba,PF,19,HOU,24,0.432,0.25,0.583,0.714,0.9,2.6,0.7,0.4,0.5,2.0
249,Luka Garza,C,23,DET,32,0.449,0.327,0.51,0.623,1.8,1.3,0.6,0.3,0.2,5.8
250,Rudy Gay,PF,35,UTA,55,0.414,0.345,0.494,0.785,1.0,3.4,1.0,0.5,0.3,8.1
251,Paul George,SF,31,LAC,31,0.421,0.354,0.467,0.858,0.4,6.5,5.7,2.2,0.4,24.3
252,Taj Gibson,C,36,NYK,52,0.518,0.395,0.555,0.808,1.7,2.7,0.6,0.4,0.8,4.4
253,Josh Giddey,SG,19,OKC,54,0.419,0.263,0.492,0.709,1.8,6.0,6.4,0.9,0.4,12.5
254,Shai Gilgeous-Alexander,PG,23,OKC,56,0.453,0.3,0.514,0.81,0.7,4.3,5.9,1.3,0.8,24.5
255,Anthony Gill,PF,29,WAS,44,0.569,0.538,0.578,0.808,0.8,1.2,0.6,0.1,0.3,4.1
256,Freddie Gillespie,PF,24,ORL,9,0.409,0.0,0.429,0.429,1.4,2.6,0.6,0.3,1.0,2.3
257,Rudy Gobert,C,29,UTA,66,0.713,0.0,0.718,0.69,3.7,11.0,1.1,0.7,2.1,15.6
258,Brandon Goodwin,PG,26,CLE,36,0.416,0.345,0.455,0.632,0.4,1.5,2.5,0.7,0.0,4.8
259,Jordan Goodwin,SG,23,WAS,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
260,Aaron Gordon,PF,26,DEN,75,0.52,0.335,0.605,0.743,1.7,4.2,2.5,0.6,0.6,15.0
261,Eric Gordon,SG,33,HOU,57,0.475,0.412,0.548,0.778,0.3,1.7,2.7,0.5,0.3,13.4
262,Devonte' Graham,PG,26,NOP,76,0.363,0.341,0.413,0.843,0.5,1.8,4.2,0.9,0.2,11.9
